,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
0,攻击活动分析报告 (181),针对美国纳税人的活动传播NetWire和Remcos恶意软件,2021/3/18,暂无数据,['木马后门'],暂无数据,Cybereason Nocturnus发现一项针对美国纳税人的新活动，该活动使用包含税收相关的恶意宏钓鱼文档，向目标提供NetWire和Remcos恶意软件。感染用户的恶意文档大小约为7MB，可以规避传统的AV机制和启发式检测。在感染链中，会下载OpenVPN客户端以侧载有效负载，侧载的负载会将其他DLL内存解压缩并注入“notepad.exe”。然后从云服务（例如“ imgur”）下载托管的隐藏在图像文件中的Netwire和Remcos有效负载。NetWire和Remcos恶意软件均为商业软件。NetWire主要功能包括下载执行其他负载、文件和系统管理、屏幕截图、浏览器凭证和历史记录窃取、受害者系统信息收集。Remcos RAT主要功能包括执行远程Shell命令、下载和执行其他负载、屏幕截图、剪贴板数据管理。
1,攻击活动分析报告 (181),Lazarus组织使用ThreatNeedle后门攻击国防工业,2021/2/25,暂无数据,[],APT-C-26,Lazarus是当今最多产的威胁参与者之一。Lazarus至少从2009年起就活跃起来，参与了大规模的网络间谍活动，勒索软件活动，甚至是对加密货币市场的攻击。尽管过去几年他们一直专注于金融机构，但到2020年初，他们似乎已将国防工业添加到其“投资组合”中。 卡巴斯基的研究人员在被邀请协助事件响应时首先意识到了这一活动，他们发现该组织已成为自定义后门（一种可以对设备进行完全远程控制的恶意软件）的受害者。该后门被称为ThreatNeedle，可在受感染的网络中横向移动并提取机密信息。到目前为止，十几个国家/地区的组织已受到影响。
2,攻击活动分析报告 (181),“幼象”组织针对巴基斯坦国防制造商的攻击活动分析报告,2021/2/22,暂无数据,"['恶意软件', '木马后门']",幼象,“幼象”组织是一个来自南亚次大陆方向的APT攻击组织，其最早由安天在2020年1月15日发布的《“折纸”行动：针对南亚多国军政机构的网络攻击》[1]报告中所披露。“幼象”组织攻击活动最早可追溯到2017年7月，其主要攻击目标为巴基斯坦、孟加拉、斯里兰卡和马尔代夫等南亚国家的政府、军事、国防、外交、核能、金融、教育、电信等部门及行业。“幼象”组织使用的木马武器既有开源工具，如：Empire渗透框架和Exploit Pack漏洞攻击平台。同时也有自研C++编写的窃密木马（可借助U盘进行横向移动突破隔离网络，窃取隔离网络主机文件）、Python语言编写的木马以及Go语言编写的木马。
3,攻击活动分析报告 (181),疑似APT28利用高碳铬铁生产商登记表为诱饵的攻击活动分析,2021/2/22,暂无数据,"['远控木马', '诱饵文件']",APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,近日，奇安信红雨滴团队在日常高价值威胁挖掘过程中，捕获两例哈萨克斯坦地区上传样本，样本以哈萨克斯坦Kazchrome企业信息为诱饵，Kazchrome据称是全球最大的高碳铬铁生产商。诱导受害者启用恶意宏，一旦宏被启用后，恶意宏将释放执行远控木马到计算机执行，经分析溯源发现，释放执行的木马疑似是奇幻熊组织常用Zebrocy变种。 奇幻熊组织，业界对其有各种别名：APT28、Sednit、Pawn Storm、Sofacy Group、STRONTIUM，主要针对高加索和北约开展网络攻击活动，近期其目标越来越多出现在中亚地区，主要攻击领域为对政府军事和安全组织。
4,攻击活动分析报告 (181),BendyBear：新颖的中文Shellcode与网络间谍组织BlackTech相关联,2021/2/9,暂无数据,"['恶意软件', '远程控制']",BlackTech黑凤梨 T-APT-03,"高度可扩展，高度复杂的机器代码超过10,000个字节。这是第42单元的研究人员在文件“熊”的代码分析期间遇到的。该代码的行为和功能与WaterBear恶意软件家族（自2009年以来一直活跃）密切相关。趋势科技和TeamT5的分析表明，WaterBear是一种多方面的，第二阶段的植入程序，能够进行文件传输，shell访问，屏幕截图等等。该恶意软件与网络间谍组织BlackTech相关联广泛的威胁研究社区中的许多人都认为该组织与中国政府有联系，据信这是对近期袭击多个东亚政府组织的事件造成的。由于与WaterBear的相似性以及代码的多态性，第42单元将这种新颖的中文shellcode命名为“ BendyBear”。它是高级持久威胁（APT）所使用的最复杂，设计最完善且难以检测的shellcode样本之一，因此具有自己的特色。"
5,攻击活动分析报告 (181),落鹰行动-史上影响力最大的供应链攻击行动揭秘,2020/12/15,暂无数据,"['APT攻击', '木马后门']",暂无数据,美国时间2020年12月13日，据外媒报道美国多个重要政府机构遭受了国家级APT组织的攻击入侵，攻击疑似是由于基础网络管理软件供应商SolarWinds的产品缺陷导致。相关新闻报道后不久，美国网络安全公司FireEye和微软公司相继发布技术分析报告，披露了国家级APT组织针对SolarWinds产品供应链攻击，对相关软件植入的后门组件进行了技术分析。同时SolarWinds官方发布安全公告，公告该公司的SolarWinds Orion平台软件在2020年3月至6月之间发布的2019.4 - 2020.2.1版本，遭受了高度复杂的供应链攻击，提醒用户检查升级最新版本。 根据SolarWinds公司官网的客户介绍页显示，该公司的客户包括美国财富500强企业、美国所有前十大电信业者、美军所有五大部队、美国国务院、国家安全局，以及美国总统办公室等。该信息从侧面透露了，美国的核心企业、军事机构和政府机构已经遭受了史上最严重的APT攻击，美国的众多重要机构都已经被国家级APT组织入侵。 在此次攻击事件曝光的第一时间，360威胁情报中心国内首家对此攻击事件进行了精准的研判和预警。同时，360高级威胁研究分析中心依靠360安全大脑的全网遥测分析能力还原了此次攻击行动的详细过程，并将此次攻击行动命名为“落鹰行动”。本报告将揭秘分析史上影响力最大的供应链攻击行动。
6,攻击活动分析报告 (181),流行网管软件厂商SolarWinds供应链攻击事件通告,2020/12/14,暂无数据,"['伪造证书', '网站篡改']",暂无数据,SolarWinds官网发布通告称，SolarWinds刚刚意识到他们的系统在2020年3月至2020年6月之间发布的SolarWinds®Orion®Platform（软件版本2019.4至2020.2.1）上经历了高度复杂的手动供应链攻击。他们被告知此攻击由外部国家/地区攻击者发起，而且攻击不具备广泛性，仅针对特定用户进行手动攻击。
7,攻击活动分析报告 (181),发布Kraken:无文件APT攻击滥用Windows错误报告服务,2020/10/6,暂无数据,[],APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,9月17日，我们发现了一种名为Kraken的新攻击，该攻击将其有效负载作为防御逃避机制注入了Windows错误报告（WER）服务。 当与操作系统，Windows功能或应用程序相关的错误发生时，通常会调用该报告服务WerFault.exe。当受害者看到他们的计算机上运行WerFault.exe时，他们可能认为发生了一些错误，而在这种情况下，他们实际上已成为攻击的目标。 尽管这项技术不是什么新技术，但这项运动很可能是APT小组的工作，该小组先前曾使用网络钓鱼攻击，诱使受害者提出工人赔偿要求。威胁行动者入侵了一个网站以托管其有效负载，然后使用CactusTorch框架执行无文件攻击，然后采用多种反分析技术。
8,攻击活动分析报告 (181),APT-C-43窃取委内瑞拉的军事机密，为反动派提供情报支持— HpReact运动,2020/9/25,暂无数据,[],MacheteAPT-C-43,2020年6月，360安全中心通过无文件攻击防护功能发现了用Python编写的新后门Pyark。通过对后门的深入挖掘和跟踪分析，我们发现了自2019年以来一直活跃的一系列高级威胁行动。通过入侵委内瑞拉的各种军事机构，攻击者部署了后门，以不断监视和窃取最新军事机密。基于360命名APT组织的方式，我们将其命名为APT-C-43
9,攻击活动分析报告 (181),黑客组织apt-c-39已经攻击中国网络的关键领域11年,2020/3/4,暂无数据,['暂无数据'],APT-C-39,360公司捕获了与美国中央情报局CIA有关的黑客攻击组织（APT-C-39）对中国进行的长达十一年的网络攻击渗透，攻击目标为航空航天、科研机构、石油行业、大型互联网公司以及政府机构等多个单位。 同时还定位到负责从事研发和制作相关网络武器的CIA前雇员：约书亚·亚当·舒尔特(Joshua Adam Schulte)，在该组织攻击中国目标期间，他在CIA的秘密行动处(NCS)担任科技情报主管职位，直接参与研发了针对中国进行攻击的网络武器：Vault7（穹窿7）。 研究发现，该组织多次使用了Fluxwire，Grasshopper等CIA专属网络武器针对中国目标实施网络攻击。其中，Fluxwire系列后门在2010年初就已在针对中国目标的攻击中出现，早于2017年维基百科的曝光。在2011年针对一家大型中国互联网公司的网络攻击中，使用了WISTFULTOOL(WISTFULTOLL)，这是2014年国家安全局(NSA)泄露的一款攻击插件。 2018年，约书亚因泄露行为被美国司法部逮捕并起诉，2020年2月4日，在联邦法庭的公开听证会上，检方公诉人认定，约书亚作为CIA网络武器的核心研发人员和拥有其内部武器库最高管理员权限的负责人，将网络武器交由维基解密公开，犯有“在中央情报局历史上最大的一次机密国防情报泄露事件”，即2016年，约书亚利用其在核心机房的管理员权限和设置的后门，拷走了“Vault7（穹窿7）” 并“给到”维基解密组织，该组织于2017年将资料公布在其官方网站上。
