,报告标题,APT组织,披露时间,披露机构,攻击方法,报告摘要
0,Waterbear攻击活动重返，使用API挂钩逃避安全产品检测,T-APT-03 (4),2019-12-11,TrendMicro,暂无数据,"趋势科技研究人员发现Waterbear活动重新出现，该活动与网络间谍组织BlackTech有关，主要针对东亚的技术公司和政府机构。最近的活动中，发现一个新的Waterbear恶意负载，该负载通过API挂钩技术隐藏其网络行为。Waterbear利用DLL加载程序来解密和执行RC4加密的负载，然后将其作为第一阶段后门，继续接收加载其他可执行文件。新出现的有效载荷将代码注入特定的安全产品中以隐藏自身，其挂钩了两个API即""ZwOpenProcess""(目的是防止安全产品访问特定的进程)和""GetExtendedTcpTable""(目的是删除某些PID的TCP端点记录)以隐藏其特定进程。有效负载只修改安全产品进程内存中的函数，因此原始系统DLL文件保持不变。"
1,BlackTech组织使用IconDown恶意软件对日本的攻击,T-APT-03 (4),2019-11-21,jpcert,暂无数据,BlackTech使用各种类型的恶意软件对日本进行攻击，近期发现该组织利用IconDown恶意软件，该恶意软件通过ASUS WebStorage的更新功能进行传播。
2,台湾科技公司窃取的证书在Plead恶意软件活动中被滥用,T-APT-03 (4),2018-07-09,ESET,盗取证书恶意软件,当我们的系统将多个文件标记为可疑时，我们发现了此恶意软件广告系列。有趣的是，标记的文件使用有效的D-Link Corporation代码签名证书进行了数字签名。完全相同的证书已用于签署非恶意D-Link软件; 因此，证书很可能被盗。
3,BlackTech网络间谍组织活动分析,T-APT-03 (4),2017-06-22,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,"BlackTech是一个网络间谍组织，以东亚，特别是台湾，有时甚至还包括日本和香港的目标为主。根据其一些C＆C服务器的互斥和域名，BlackTech的攻击活动可能旨在窃取其攻击目标的技术。趋势科技的研究人员已经把近些年来看似不相关的三个网络攻击活动PLEAD, Shrouded Crossbow和Waterbear联系在了一起。研究人员分析了这几种攻击过程的方式，并解析了它们的使用工具，最终发现了共同点，也就是说PLEAD, Shrouded Crossbow和Waterbear实际上是由同一个组织操作的。"
4,响尾蛇组织利用巴菲双边协议为诱饵的攻击活动分析,T-APT-04 (12),2020-10-26,奇安信,远控木马,响尾蛇（又称SideWinder）是疑似具有南亚背景的APT组织，其攻击活动最早可追溯到2012年，主要针对其周边国家政府，军事，能源等领域开展攻击活动，以窃取敏感信息为攻击目的。 近日，奇安信威胁情报中心红雨滴团队在日常高价值样本挖掘中，捕获了一例响尾蛇组织攻击样本，该样本伪装为巴基斯坦-菲律宾相关合同协议，诱导受害者执行，一旦受害者执行，该样本便会通过公式编辑漏洞执行JS脚本，从而部署其常用的.NET远控木马控制受害者机器，窃取敏感信息。
5,响尾蛇（SideWinder）组织利用WebSocket隧道的新型攻击活动披露,T-APT-04 (12),2020-10-19,360,恶意脚本,响尾蛇（SideWinder）组织是一支具有南亚背景的APT组织，该组织的攻击活动最早可追溯到2012年，主要针对巴基斯坦和东南亚各国发起过攻击。今年9月期间又重新出现活动迹象。 相关攻击第一阶段的恶意荷载主要利用DotNetToJScript技术，以JavaScript恶意脚本为载体，在内存中执行.NET Assembly形式的恶意功能组件，以无文件攻击的方式躲避安全软件的查杀。 第二阶段的后门程序会通过C&amp;C下载各类攻击组件，其中核心的攻击动作是在失陷机器上利用WebSocket隧道建立反向的Socks5代理，操作各种后门和攻击组件进行渗透攻击。由于WebSocket隧道属于加密流量，部分流量安全设备很难识别异常情况。
6,响尾蛇APT组织2020年上半年活动总结报告,T-APT-04 (12),2020-07-12,freebuf,钓鱼攻击木马后门漏洞利用:CVE-2017-11882漏洞利用:CVE-2017-0199漏洞利用:CVE-2020-0674,Gcow安全团队追影小组对响尾蛇(SideWinder) APT组织2020年上半年活动进行了总结。发现在2020上半年的活动中该组织的主要目标依然是巴基斯坦，中国，孟加拉国以及其他的东南亚国家，其主要是集中在政府，军事领域。该组织也同样利用关于COVID-19信息作为诱饵对中巴的教育机构以及政府机构进行攻击活动。也出现了体育比赛方面的话题钓鱼邮件。从样本攻击流程来看，该组织的技术并没有太多的革新。主要的样本形式有两类，第一类为带有CVE-2017-11882漏洞的RTF（富文本）文件；另一类为使用该mshta.exe执行远程hta脚本的LNK文件。该组织近期还针对中国某大学发起攻击活动，利用浏览器nday，采用了CVE-2017-0199、CVE-2020-0674漏洞结合的方式进行攻击。
7,近期响尾蛇APT组织针对周边国家和地区的攻击活动分析,T-APT-04 (12),2020-05-21,奇安信,鱼叉式网络钓鱼攻击漏洞利用:CVE-2017-11882,"近期，奇安信威胁情报中心捕获到几例疫情相关的恶意LNK样本，此类样本伪装为受害国家的军方抗击疫情战略、空军大学疫情期间网络在线课程政策等热点信息开展攻击。一旦受害者执行此类恶意样本，LNK文件将从远程服务器下载恶意脚本执行，恶意脚本将释放展示正常的诱饵文档以迷惑受害者，并继续从远程获取第二阶段恶意脚本执行。第二阶段恶意脚本将在受害者计算机上部署相关恶意软件，并通过白加黑的方式加载最终的远程木马，控制受害者机器，从而窃取敏感信息。 除LNK文件以外，攻击中也出现了公式编辑器漏洞利用文档，恶意文档会释放执行一个脚本文件，该脚本文件同样会解码执行.NET dll文件,其后续行为与LNK文件流程基本一致，最终恶意payload也为SystemAPP.dll，用于获取系统用户名，计算机名，杀软等信息的木马。"
8,恶意Google Play应用与SideWinder APT组织相关,T-APT-04 (12),2020-01-06,TrendMicro,暂无数据,研究人员在Google Play商店中发现了三个恶意应用程序，它们是Camero，FileCrypt Mange和callCam，可协同工作以破坏受害者的设备并收集用户信息。 首先，Camero和FileCrypt Manger应用程序，充当下载器。从C2服务器下载一个DEX文件，下载的DEX文件将下载APK文件，并在利用设备或使用辅助功能后安装该文件。 所有这些都是在没有用户意识或干预的情况下完成的，攻击者使用了混淆，数据加密和调用动态代码等手段来隐藏。其中，Camero根据下载的DEX从C2服务器检索特定的漏洞利用：CVE-2019-2215和MediaTek-SU来获得root特权。FileCrypt Manger用来获取辅助功能权限。其次，第二阶段为安装和启动callCam应用程序。启动后，应用程序callCam会在设备上隐藏其图标，收集特定信息包括微信，Outlook，Twitter，Yahoo Mail，Facebook，Gmail和Chrome的数据，并在后台将其发送回C2服务器。 这些应用所使用的C2服务器被怀疑是SideWinder基础架构的一部分。 此外，在其中一台服务器上也找到了链接到应用程序之一的Google Play页面URL。
9,游荡于中巴两国的魅影——响尾蛇(SideWinder) APT组织针对巴基斯坦最近的活动以及2019年该组织的活动总结,T-APT-04 (12),2020-01-01,Gcow,恶意邮件恶意软件木马后门漏洞利用:CVE-2017-11882,"Gcow安全团队追影小组于2019年11月份捕获到名为SideWinder(响尾蛇)组织针对巴基斯坦的活动,介于该组织主要针对巴基斯坦和中国以及其他东南亚国家,且其于10月份时候针对中国部分国防重要行业进行类似手法的攻击活动,为了更好了解对手的攻击手段以及加以防范,团队将以最近的样本为契机来总结该组织为期一年的攻击活动. 响尾蛇（又称SideWinder、T-APT-04）是一个背景可能来源于印度的APT组织,该组织此前已对巴基斯坦和东南亚各国发起过多次攻击, 该组织以窃取政府，能源，军事，矿产等领域的机密信息为主要目的。此次的攻击事件以虚假邮件为诱饵，利用Office远程代码执行漏洞（cve-2017-11882）或者通过远程模板注入技术加载远程URL上的漏洞文件.在针对于巴基斯坦的攻击中我们发现了Lnk文件的载荷,其主要驱动是mshta.exe，攻击者通过各种方式以达到伪装的目的"
