,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
0,2021 (94),通过Google Play传播的新Dropper分发AlienBot和MRAT,2021-03-09,checkpoint,恶意软件,暂无数据,Check Point Research最近发现一个新的Dropper（被称为Clast82）通过官方Google Play商店传播，该Dropper基于开源的Android程序，可以下载并安装AlienBot Banker和MRAT。Clast82利用了一系列技术来避免被Google Play Protect检测，如使用Firebase作为C&amp;C通信平台、使用GitHub作为第三方有效载荷托管平台。对于每个恶意的应用程序，攻击者都在Google Play商店创建了一个新开发者用户，并且在GitHub帐户上创建了一个存储库。恶意应用程序通过MainActivity启动LoaderService和前台服务来执行Dropper任务。前台服务为Firebase实时数据库注册一个侦听器，从该数据库接收来自GitHub的有效负载路径和C&amp;C命令，Dropper任务从'loadAndInstallApp 函数开始，该函数从GitHub下载有效负载，并调用installApp 方法来完成恶意活动。如果被感染的设备阻止来自未知来源的应用程序的安装，Clast82会用一个虚假的请求来提示用户，假装是Google Play Services，请求用户每5秒允许安装一次。成功安装恶意有效载荷后，Dropper应用程序启动下载的有效载荷。
1,2021 (94),Gafgtyt新变种使用Tor代理进行通信,2021-03-05,360netlab,木马后门僵尸网络漏洞利用:CVE-2019-16920CVE-2019-19781,暂无数据,近期，360Netlab发现Gafgyt家族的一个新变种（Gafgtyt_tor），该变种使用Tor进行C2通信以隐藏真实的C2信息。Gafgtyt_tor内置了100多个Tor代理，并且新样本代理列表在持续更新；主要通过Telnet弱口令和漏洞（CVE-2019-16920、CVE-2019-19781等）传播；集成了替换加密算法，用于加密C2和敏感字符串。Gafgyt_tor跟keksec团伙之前分发的Gafgyt样本同源，核心功能依然是DDoS攻击和扫描。
2,2021 (94),攻击者利用微软主题的钓鱼邮件针对企业高管,2021-03-05,Zscaler,网络钓鱼,暂无数据,Zscaler威胁研究团队ThreatLabZ最近发现了一系列新的以微软为主题的钓鱼攻击，目标是多个组织的高级员工。在过去的三个月里，Zscaler云已经阻止了超过2500个这样的钓鱼尝试。值得注意的是，此次攻击的目标是拥有副总裁和董事总经理等头衔的高级商业领袖，他们可能对公司的敏感数据拥有更高程度的访问权限。这些活动的目的是窃取这些受害者的登录凭证，让威胁参与者访问有价值的公司资产。攻击已经蔓延到许多行业，其中银行和IT行业的攻击最为猖獗。在这些攻击中，受害者从其统一通信工具接收到似乎是自动发送的电子邮件，表明他们有语音邮件附件。当他们单击附件时，会遇到伪造的Google reCAPTCHA屏幕，然后被定向一个到看似微软登录的页面，从而使威胁行为者可以窃取其登录凭据。
3,2021 (94),近期的Qakbot木马活动传播Cobalt Strike,2021-03-04,SANS ISC,钓鱼攻击木马后门,暂无数据,SANS ISC分析人员发现最近的Qakbot活动。恶意样本通过垃圾邮件传播，邮件附件为.zip文档，里面包含恶意的Excel文件。Excel文件内容要求用户启用内容以查看文档内容，一旦启用，恶意宏会下载Qakbot有效负载和Cobalt Strike有效负载。
4,2020 (692),通过Google Play传播的新Dropper分发AlienBot和MRAT,,,,,
5,2020 (692),Early Bird Catches the Worm：新的Golang蠕虫将XMRig Miner丢在服务器上,,,,,
6,2020 (692),腾讯云防火墙捕获H2Miner挖矿木马利用XXL-JOB未授权命令执行漏洞攻击云主机,2020-12-28,腾讯,未授权远程命令执行漏洞,暂无数据,腾讯安全云防火墙检测到H2Miner挖矿木马使用XXL-JOB未授权命令执行漏洞对云主机发起攻击，攻击成功后执行恶意脚本进而植入门罗币挖矿后门模块进行挖矿操作，该挖矿木马运行时会删除其他竞争对手挖矿木马创建的文件和计划任务。 腾讯安全专家建议XXL-JOB管理任务的政企用户及时加固系统配置、修补漏洞，避免遭遇更多的黑产攻击。用户可参考腾讯安全产品响应清单指引，及时检测、清理恶意威胁
7,2020 (692),GitHub托管的恶意软件从Imgur pic计算攻击有效载荷,2020-12-28,BleepingComputer,恶意软件,MuddyWater,新的恶意软件使用带有宏的Word文件从GitHub下载PowerShell脚本，该脚本将从Imgur下载实际PNG文件。之后，利用像Invoke-PSImage这样的工具来使用PNG文件中的像素值编码PowerShell脚本，并生成一行命令来执行payload，最终获得Cobalt Strike脚本。研究人员推测此恶意软件可能与主要针对中东实体的APT组织MuddyWater有关。
8,2020 (692),腾讯云防火墙捕获H2Miner挖矿木马利用XXL-JOB相关漏洞攻击云主机,2020-12-28,腾讯,木马挖矿,暂无数据,腾讯检测到H2Miner挖矿木马使用XXL-JOB未授权命令执行漏洞对云主机发起攻击，攻击成功后执行恶意脚本进而植入门罗币挖矿后门模块进行挖矿操作，该挖矿木马运行时会删除其他竞争对手挖矿木马创建的文件和计划任务。
9,2020 (692),安天发布“灵猫”组织针对中东地区的攻击活动分析报告,2020-12-27,安天,恶意软件,,“灵猫”组织（又名Moonlight、Molerats、Gaza Hackers Team、Gaza Cybergang）是一个来自加沙地区的APT攻击组织，其最早的攻击活动时间可追溯至2012年。安天CERT从2020年10月份开始陆续捕获到“灵猫”组织针对中东地区进行攻击的样本，在本次攻击活动中“灵猫”组织使用的工具更为丰富，不仅包括在既往活动中使用的通过ENIGMA打包的Spark恶意软件，还有在此前未发现被使用的.NET框架的MoleStage 恶意软件，以及自研的Python后门恶意软件MoleCloud。其中MoleCloud网络通讯全程利用正常网站的信息发布和存储服务进行指令交互、窃密数据上传和下载文件执行，通过利用合法的Web服务，MoleCloud在抵达端点后可以在流量侧隐匿自身的攻击活动，若未被端点侧安全产品发现，则MoleCloud将能长期潜伏于目标端点中。
