,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
0,2012 (12),显微镜下的蠕虫病毒,2012-11-12,ESET,C&C,暂无数据,本文围绕Stuxnet蠕虫病毒进行了非常详细的分析。文中第一部分描述了Stuxnet的目标人群及入侵系统。第二部分详细对比了Stuxnet和Aurora之间的关系。第三部分深度解剖Stuxnet的组成、工作原理等技术细节。
1,2012 (12),特洛伊木马瞄准智囊团,2012-10-27,Symantec,C&C鱼叉攻击,暂无数据,Trojan.Taidoor在过去三年中，一直被用于有针对性的攻击活动。自2011年5月以来，其活动大幅度增加。Taidoor目前的目标主要是私营企业和有影响力的国际智库，涉及美国和台湾事务。这些组织的服务部门也会成为目标。 Trojan.Taidoor可追溯到2008年3月，2009年5月以来，已经发现了利用Taidoor攻击目标的电子邮件14个不同版本和3个独立的木马家族。
2,2012 (12),幻影行动,2012-09-18,SecureWorks,C&C鱼叉攻击,HUC,Mirage：中文译为——幻影 MD5 : FB17FFC7495880A7C19DF0EBE5C97AD7 Mirage 是一个2012年的后门木马，攻击目标是政府组织、能源公司、军队机构等。一旦在受感染的主机上执行，它就会创建一个后门，该后门会主动连接远程服务器，发送被感染主机的敏感信息等，同时接收服务器的指令。
3,2012 (12),VOHO活动深入分析,2012-09-12,RSA,C&C水坑攻击,暂无数据,2012年7月，RSA FirstWatch研究和情报团队发现了一个新兴的恶意代码，在特定的地理区域快速扩张，涉及10个地区和近万台主机。RSA团队将之命名为VOHO。从TTP的角度看，这是一次明确的APT行为，并有具体的C2主机和Gh0st RAT代码。本文将针对该恶意攻击的具体行为进行分析。
4,2012 (12),Elderwood计划,2012-09-09,Symantec,C&C鱼叉攻击水坑攻击,暂无数据,安全方案商赛门铁克(Symantec)已找出，最近透过IE零时差漏洞发动大量连串间谍攻击行动的幕后主使者。被赛门铁克称之为”Elderwood计划”的黑客行动，在2012年至少犯下4起远程程序代码执行漏洞攻击事件，并藉此将恶意软件散播至诸如国际特赦组织香港分会(Amnesty International Hong kong)之类的网站上。 该黑客团体另外也需为2010年1月分的诸多攻击负责，其中包括对Google所发动的”极光行动”(Operation Aurora)恶意攻击。 虽然过去攻击者多半会采用鱼叉式网络钓鱼邮件来发动攻击，但研究人员如今却发现黑客从中采用所谓的”水坑攻击”(Watering Hole)策略，该类型攻击会透过在目标公司工作的员工，抑或像是国防供应链中制造业之类的下层组织，来做为攻陷目标网站之前的第一阶段攻击对象与跳板。
5,2012 (12),高斯异常分布,2012-08-09,Kaspersky,暂无数据,暂无数据,高斯 是一个在 2011 年到 2012 年期间进行开发的项目，开发时间线类似 火焰 项目。该恶意程序在过去的10个月的时间活跃于中东地区。高斯感染最多的地区是黎巴嫩，而 火焰 主要分布在伊朗。 从功能上看，高斯被设计用来收集受感染计算机系统上尽可能多的信息，同时来盗取大量银行系统的凭证与社会公用网络，电子邮件与即时通信账户。高斯的程序代码包括用来截获黎巴嫩几家银行工作数据的命令。这些银行包括 Bank of Beirut， Byblos Bank， and Fransabank 。 奇怪的是，高斯 模块的名称都是以著名数学家的名字命名。平台内的模块均以 'Gauss'， 'Lagrange'， 'Godel'， 'Tailor'， 'Kurt' 命名。高斯 的模块负责收集大多数关键的信息，这正是我们之后决定将该恶意程序定义为一个彻头彻尾的工具包的原因。 高斯 比 火焰 传播的更加广泛。然而，我们发现模块没有自我复制的功能，这让我们对其原始攻击受害者产生疑惑。
6,2012 (12),IEXPL0RE RAT病毒,2012-08-01,Citizen Lab,C&C鱼叉攻击,暂无数据,位于加拿大的“公民实验室”（Citizen Lab）发布了对 IEXPL0RE RAT病毒的研究，结论是，这个病毒可以记录受感染机器的打字、窃听说话、以及打开视频偷看电脑主人的活动。 报告分析了三个来源的病毒，有一个是人权组织，一个藏人组织以及一个中文网站通过电子邮件收到的病毒邮件。邮件内容具有诱惑力，以熟人或者收件人感兴趣的话题，引诱收件人打开附件。其中一个附件说是大火的图片，附件里有几个文件，确实有一个大火的图片，但当收件人打开后，病毒的文件会运行并自动删除。
7,2012 (12),用于分发LURK恶意软件的高级社会工程,2012-07-10,Citizen Lab,C&C,暂无数据,关于针对社会组织的网络威胁事件研究中，Citizen实验室分析了2012年5月至7月间，发送到中国西部地区的11封恶意电子邮件，其中所包含的C2服务器地址相同。 攻击者至少对3个独立的组织发起了攻击，将恶意电子邮件发送给这些组织的7个不同的电子邮件地址。其中恶意文件受到密码保护，但解压密码却在邮件正文中携带。这与LURK恶意软件的手法相同。
8,2012 (12),sKyWIper a.k.a. Flame a.k.a. Flamer一种用于针对性攻击的复杂恶意软件,2012-05-31,CrySyS Lab,C&C,暂无数据,"在2012年5月，CrySyS Lab的团队参与了一款未知的恶意软件的分析，内部称之为sKyWIper(国内译为""超级火焰""，因为根据伊朗CERT的称呼它被叫 做""Flame""和""Flamer"")。根据最初收集到的信息，这款恶意软件是一个有目标的攻击计划的一部分。当CrySyS Lab开始这次分析的时候，不知道有多少个国家已经受这款恶意软件的的影响，但怀疑这个影响范围并非仅仅局限于一个国家——怀疑是基于欧洲各国的病毒样本上传分析网站的可疑文件样本的。在调查过程中，CrySyS Lab收到了感染sKyWIper病毒的系统的信息，这些信息既有来自于别的国家的，也有来自于本国匈牙利的。"
9,2012 (12),LUCKYCAT REDUX在印度和日本的多个目标的APT运动中,2012-03-26,TrendMicro,C&C,暂无数据,本文主要讨论了Luckycat事件。经过我们的分析，该事件的目标不仅涉及印度军方研究机构，也包括了某些日本的敏感对象和中国的社会活动人士。黑客利用了多种设施，从临时站点到固定VPS都有应用。
