,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
0,2019 (398),微软起诉朝鲜APT组织Thallium，并接管其使用的50个域名,2019-12-31,MicroSoft,暂无数据,Thallium,最近，微软起诉了黑客组织Thallium，并成功接管了该组织运营的50个威胁域。Thallium是一个来自于朝鲜的攻击组织，通常使用鱼叉式网络钓鱼技术针对包括政府、高等院校等目标，大多数目标位于美国、日本和韩国。该组织至少从2018年5月起，发起了名为STOLEN PENCIL的鱼叉式钓鱼攻击活动，针对学术机构，以窃取凭据信息。同时，还使用了名为BabyShark的恶意软件来收集东北亚国家安全问题有关的情报。 参考信息
1,2019 (398),疑似朝鲜APT组织发起针对学术界目标的钓鱼攻击,2019-12-31,Netscout,暂无数据,Thallium,ASERT发现了可能来自朝鲜的APT活动，此活动至少从2018年5月以来一直瞄准学术机构并被称为“STOLEN PENCIL”。攻击背后的最终动机尚不清楚，但攻击者擅长隐藏行踪。通过向目标发送鱼叉式网络钓鱼电子邮件，将其引导至显示诱饵文档的网站，并立即提示安装恶意Google Chrome扩展程序。一旦获得立足点，威胁参与者就会使用现成的工具来确保持久性，包括远程桌面协议（RDP）以维持访问。通过攻击者使用的网络钓鱼域名可以分析出此次活动专注攻击学术界，并且许多大学的受害者都拥有生物医学工程专业知识。
2,2019 (398),BabyShark恶意软件瞄准国家安全信息，疑似与多个恶意软件活动相关,2019-12-31,paloalto,暂无数据,暂无数据,近日，Unit 42的研究人员确定了一个新的恶意软件名为BabyShark，该恶意软件通过鱼叉式网络钓鱼传播，邮件的主体主要涉及朝鲜核问题。BabyShark是一种相对较新的恶意软件，恶意软件是通过从远程位置执行第一阶段HTA来启动的，因此它可以通过包括PE文件在内的不同文件类型以及恶意文件。它将系统信息泄露给C2服务器，维护系统的持久性，并等待操作人员的进一步指令。通过对其分析，其背后的威胁行动者明确关注收集与东北亚国家安全问题有关的情报。BabyShark背后的攻击者可能与使用KimJongRAT恶意软件系列有关，并且至少与负责STOLEN PENCIL活动的组织共享资源。
3,2019 (398),DustSquad APT组织针对乌兹别克斯坦的活动分析,2019-12-30,Accenture,暂无数据,DustSquad,"Gcow安全团队的追影APT分析小组在公共的文件分析平台上捕获到了名为DustSpuad的APT组织,针对乌兹别克斯坦的外交部进行的一起网络攻击活动.所使用的正是名叫Octopus的Windows恶意程序。Octopus恶意程序的名称最初由ESET在2017年由APT组织在其旧C2服务器上使用的0ct0pus3.php脚本之后创造。卡巴斯基通过其监控平台发现Octopus恶意程序与DustSquad有关.在遥测中,我们发现这个组织对中亚共和国以及俄语系的国家产生着浓厚的兴趣。"
4,2019 (398),黑客组织BRONZE PRESIDENT，攻击非政府组织,2019-12-29,SecureWorks,暂无数据,暂无数据,BRONZE PRESIDENT:使用专有和公开可用的工具来攻击非政府组织（NGOs）及南亚和东亚国家的政治和执法机构。该组织已被发现使用的工具有：Cobalt Strike，PlugX，ORat和RCSession，在一次入侵期间同时使用如此多的工具表明，该组织可能有不同角色和工具偏好的攻击者。其攻击策略为通过构造钓鱼邮件渗透攻击目标的网络，安装提权工具，运行定制脚本以收集特定信息。
5,2019 (398),土耳其黑客针对我国发起攻击！ ！！,2019-12-28,Talos,恶意扫描,暂无数据,近期，监测到土耳其黑客Turk Hack Team对中国网站发起攻击（Turan Ordusu活动），以实际行动表明对“东突厥斯坦”的支持。该组织目前的主要动机是篡改相关机构网站页面，宣扬“反动”言论。目前已经有大量的国内政府、医疗、学校、研究机构网站被该组织篡改网站页面。黑客疑似通过搜索引擎筛选中国国内网站管理员后台登录入口，并通过暴力破解方式，获取登录凭据进入网站系统，篡改网站页面。 Turk Hack Team是一个来自于土耳其的黑客组织团伙，至今仍在活跃。自2013年以来，以其认为不尊重土耳其或以其他方式轻视土耳其人（文化、历史、政治等）的网站和群体为目标，发动针对性的网络攻击活动。 2013年8月，对1600多个中文网站进行了黑客攻击和破坏； 2015年4月，使用分布式拒绝服务攻击攻击了梵蒂冈的一些网站； 2016年7月，使用分布式拒绝服务（DDoS）攻击美国国会图书馆； 2016年，针对俄罗斯（“ THT俄罗斯行动”）和伊朗进行了大规模的网络攻击，并在攻击活动破坏了2024个网站，并声称利用DDoS成功攻击了俄罗斯和伊朗政府部门的顶级网站； 2016年期间，入侵亚美尼亚的外交部网站以及某些国家在该国大使馆，以支持阿塞拜疆的政治活动； 2017年3月，通过其官方Twitter feed宣称在针对荷兰的“ Netherlands Operation”攻击活动中，对252个荷兰网站进行了首页篡改攻击； 该黑客团伙的攻击目标为政府，医院以及来自世界各地多个国家（例如中国，以色列，美国，英国，荷兰，俄罗斯，伊朗，梵蒂冈和德国）的大学；
6,2019 (398),肚脑虫(Donot)组织和C-Major组织的钩沉拾遗,2019-12-28,安恒信息,鱼叉攻击,DonotAPT-C-35肚脑虫TransparentTribe,近期，安恒安全研究院猎影威胁分析团队对肚脑虫(donot)组织进行了一些梳理，在梳理过程中，又发现了一些和 C-Major 组织的关联项。于是对这两个组织做了对比分析。
7,2019 (398),Metamorfo银行木马，滥用AVAST签名文件隐藏恶意活动,2019-12-27,enSilo,暂无数据,暂无数据,"enSilo威胁研究团队发现传播Metamorfo银行木马的恶意活动，并且发现该恶意变种滥用由Avast（杀毒软件厂商）数字签名的可执行文件。恶意软件通过伪装成""Adobe Acrobat Reader Installer""的MSI下载程序交付。MSI下载程序首先会检测是否在虚拟机中运行，如果没有，则下载一个恶意zip文件解压并删除自身，然后建立持久性并重启系统。zip文件夹下的文件通过DLL劫持、进程注入、反射加载等方式加载有效负载。在此活动中，Metamorfo使用虚假的“蓝屏窗口”隐藏其恶意活动，避免被受害者发现。"
8,2019 (398),电诈团伙的千里眼：伪装成银监会移动端的恶意APP分析,2019-12-27,奇安信,暂无数据,暂无数据,"奇安信病毒响应中心最近发现一款伪装成名为""CBRC""(中国银监会或银监会英文简称)的APP。该APP伪造""资金清查""界面，收集受害者的银行账户信息，包括案件编号、银行卡号、账户密码、登入密码等。在运行过程中会通过闹钟服务在低电耗模式下开启重复定时任务，主要用于收集用户信息，实时监控受害者；通过上传手机注册信息来获取远程操作指令的参数配置信息。远程指令包括设置静音模式、备份短信信息、删除短信信息和电话转接列表等。"
9,2019 (398),FIN7组织新工具BIOLOAD，利用DLL搜索顺序劫持执行,2019-12-27,FORTINET,暂无数据,FIN7Anunak,国外研究人员最近发现一个类似FIN7组织工具BOOSTWRITE的新负载。攻击者使用了DLL搜索顺序劫持技术，滥用合法的应用程序FaceFodUninstaller.exe加载恶意负载WinBio.dll(BIOLOAD)。加载程序针对64位的操作系统，启动时，会在%TEMP%\目录下创建一个未加密的文本日志文件，再以子进程形式启动，通过使用COM对象访问任务计划程序来建立持久性。BIOLOAD具有嵌入的加密有效负载DLL，可以使用简单的XOR解密，并根据计算机名定制解密秘钥，秘钥被嵌入在加载程序中。使用计算机名的CRC32校验和作为种子，密钥的一部分被MurmurHash3的结果覆盖，可以逃避沙箱的检测，并在相关上下文丢失时阻止研究人员分析有效负载，BIOLOAD携带的有效负载是Carbanak后门的更新版本。
